comment_id,post_id,platform,author_name,author_id,comment_text,published_at,like_count,reply_count,sentiment_label,sentiment_score,crawled_at,is_reply,parent_comment_id,comment_text_clean,language,text_length,word_count,is_valid,cleaned_at
Ugwr6A3VhOQcuk5kBQt4AaABAg,qd3t_JSQXWo,YouTube,@KhoaiLangThang,UCZE88kYvCKUKjM-G0uc8Duw,"Kỷ niệm 3 triệu bà con cô bác đăng ký kênh, Khoai xin phép đăng clip lúc 7h sáng thứ hai đầu tuần. 😝<br>Thông tin về thẻ hội viên Bông Sen Vàng Khoai chia sẻ trong clip chỉ mang tính chất tham khảo, mọi người nhớ xem thêm thông tin từ trang chính thức của hãng Vietnam Airlines để có thông tin chính xác nhất nha.",2025-10-13T00:37:30Z,955,0,,,2025-10-26T23:04:07.563279,False,,"kỷ niệm 3 triệu bà con cô bác đăng ký kênh, khoai xin phép đăng clip lúc 7h sáng thứ hai đầu tuần. 😝<br>thông tin thẻ hội viên bông sen vàng khoai chia sẻ clip chỉ mang tính chất tham khảo, mọi người nhớ xem thêm thông tin trang chính thức hãng vietnam airlines thông tin chính xác nhất nha.",vi,313,66,True,2025-10-26T23:04:07.667662
UgzgzuSAtclet8xeTnx4AaABAg,qd3t_JSQXWo,YouTube,@ZeroOne0611,UCizsFAY9ibVg5N1Zimf6kEQ,"2 bạn này giỏi thật sự, ko cần ekip hùng hậu, chỉ có 2 người, qua nước ngoài tự đi, tự quay, tự lái xe luôn, đúng chuẩn là vlog du lịch. Chúc 2 bạn có 1 chuyến đi thật vui và an toàn",2025-10-15T17:06:11Z,867,0,,,2025-10-26T23:04:07.563279,False,,"2 giỏi thật sự, ko cần ekip hùng hậu, chỉ 2 người, qua nước ngoài tự đi, tự quay, tự lái xe luôn, đúng chuẩn vlog du lịch. chúc 2 1 chuyến đi thật vui an toàn",vi,182,44,True,2025-10-26T23:04:07.667662
UgwbV7DPidHrWQACdah4AaABAg,qd3t_JSQXWo,YouTube,@KhoaiLangThang,UCZE88kYvCKUKjM-G0uc8Duw,Khoai bị ghiền du lịch bằng nhà di động luôn rồi. Cái xe quá đã.,2025-10-13T00:34:04Z,830,0,,,2025-10-26T23:04:07.563279,False,,khoai bị ghiền du lịch bằng nhà di động luôn rồi. cái xe quá đã.,vi,64,15,True,2025-10-26T23:04:07.667662
UgwFlgXK-Q1wXgktBnZ4AaABAg,qd3t_JSQXWo,YouTube,@KhoaiLangThang,UCZE88kYvCKUKjM-G0uc8Duw,"Tự nhiên đang đứng mua vé tàu. Cái Khoai được cô kia kêu cầm vé tàu của cô đi đi, khỏi mua. Cái Khoai hú hồn luôn.",2025-10-13T00:33:33Z,625,0,,,2025-10-26T23:04:07.563279,False,,"tự nhiên đứng mua vé tàu. cái khoai cô kêu cầm vé tàu cô đi đi, khỏi mua. cái khoai hú hồn luôn.",vi,114,27,True,2025-10-26T23:04:07.667662
Ugzw-xqcG6H9zita6th4AaABAg,qd3t_JSQXWo,YouTube,@vy.cloudie1638,UC5SntXLfB-wby1xcN4pZbxw,"coi ông Khoai nhiều mới thấy ông Su giỏi ghê á cái gì cũng làm được từ quay phim, nói tiếng anh hay lái xe cái gì ông cũng làm được",2025-10-13T10:04:15Z,357,0,,,2025-10-26T23:04:07.563279,False,,"coi ông khoai nhiều mới thấy ông su giỏi ghê á cái gì cũng làm quay phim, nói tiếng hay lái xe cái gì ông cũng làm",vi,131,31,True,2025-10-26T23:04:07.667662
Ugxkrtu6Fwa1gQOKGOF4AaABAg,qd3t_JSQXWo,YouTube,@jennynguyen1252,UC4wExtKdTV9rD2NygvqyOVA,"Khoai ơi,minh ở München Đức. Theo mình biết chị ấy mua vé xe này chị đã sử dụng rồi tuy nhiên vé vẫn còn hiệu lực đến 6 giờ sáng hôm sau cho nên chị ấy có thể tìm ai cần vé để cho hoặc bán rẻ. chắc chị ấy muốn cho Khoai vé nhưng Khoai muốn gửi tiền lại chứ chị không có ý lừa Khoai đâu",2025-10-13T09:15:33Z,227,0,,,2025-10-26T23:04:07.563279,False,,"khoai ơi,minh ở münchen đức. theo mình biết ấy mua vé xe sử dụng rồi tuy nhiên vé vẫn còn hiệu lực đến 6 giờ sáng hôm sau nên ấy thể tìm ai cần vé bán rẻ. chắc ấy muốn khoai vé khoai muốn gửi tiền lại chứ không ý lừa khoai đâu",vi,285,68,True,2025-10-26T23:04:07.667662
UgxFaLX1dauQH__7jal4AaABAg,qd3t_JSQXWo,YouTube,@tuananhle398,UC2XjQ7VEHjLn4Kz7zlfB_JA,"Tính ra su giỏi quá a ơi, cho e gửi lời khen ₫ến bạn su, 1 người bạn ₫ồng hành tuyệt vời, giỏi tiếng Anh, giúp a giao tiếp giúp việc du lịch dễ dàng, biết lái xe tay lái cứng khắp nơi chạy tốt trên mọi nẻo đường, 2 ae tuyệt vời ai cũng giỏi hết, chúc hai ae luôn nhiều sức khỏe, mọi thành trình luôn vui vẻ và thuận lợi nhé",2025-10-15T04:35:25Z,209,0,,,2025-10-26T23:04:07.563279,False,,"tính ra su giỏi quá a ơi, e gửi lời khen ₫ến su, 1 người ₫ồng hành tuyệt vời, giỏi tiếng anh, giúp a giao tiếp giúp việc du lịch dễ dàng, biết lái xe tay lái cứng khắp nơi chạy tốt mọi nẻo đường, 2 ae tuyệt vời ai cũng giỏi hết, chúc hai ae luôn nhiều sức khỏe, mọi thành trình luôn vui vẻ thuận lợi nhé",vi,323,74,True,2025-10-26T23:04:07.668663
Ugyw9maVxqOcE-GinSJ4AaABAg,qd3t_JSQXWo,YouTube,@Kimthienthien98,UCm8UFrCzRFjku-N-C4mjPUQ,"Mê a Khoai nhưng vẫn phải khen a Su nữa nha, chiếc xe bây lớn đó mà ổng lái cũng được luôn, nể ổng thiệt. Có những người mà lạ xe, lạ tay lái, lạ chỗ là k dám chạy xe đâu, mà ổng lái bon bon luôn. Chấn động thiệt",2025-10-13T04:06:33Z,207,0,,,2025-10-26T23:04:07.563279,False,,"mê a khoai vẫn phải khen a su nữa nha, chiếc xe bây lớn mà ổng lái cũng luôn, nể ổng thiệt. những người mà lạ xe, lạ tay lái, lạ chỗ k dám chạy xe đâu, mà ổng lái bon bon luôn. chấn động thiệt",vi,212,51,True,2025-10-26T23:04:07.668663
UgwoRjK59jMOL50QM8J4AaABAg,qd3t_JSQXWo,YouTube,@Tranoanh-u9g,UCd9oFR805dLWty0_WvNvb6A,"Việc cho vé là chuyện bình thường. Dân họ vốn tiết kiệm, khi không cần nữa mà vé còn hạn thì họ thường tìm người đang mua vé ở máy tự động để cho. Không cần phải trả tiền, chỉ cần một lời cảm ơn là đủ nhưng nếu thấy là sinh viên thì nên cho họ một chút - thường bằng nửa số tiền đáng lẽ mình phải trả, không đưa nhiều vì sẽ làm họ cảm thấy ngại - sinh viên thường nghèo, rất cần tiền. <br>Mình cũng làm vậy, khi cho đi được cũng thấy trong lòng vui lên một chút. Mất một vài phút mà cả mình và người khác đều vui thì cũng đáng.",2025-10-13T18:24:38Z,202,0,,,2025-10-26T23:04:07.563279,False,,"việc vé chuyện bình thường. dân vốn tiết kiệm, không cần nữa mà vé còn hạn thì thường tìm người mua vé ở máy tự động cho. không cần phải trả tiền, chỉ cần một lời cảm ơn đủ thấy sinh viên thì nên một chút - thường bằng nửa số tiền đáng lẽ mình phải trả, không đưa nhiều vì làm cảm thấy ngại - sinh viên thường nghèo, rất cần tiền. <br>mình cũng làm vậy, đi cũng thấy lòng vui lên một chút. mất một vài phút mà cả mình người khác đều vui thì cũng đáng.",vi,527,119,True,2025-10-26T23:04:07.668663
UgxfH9lDMkjFS3cjujZ4AaABAg,qd3t_JSQXWo,YouTube,@Chu_Chaau,UC3_xubH20PRFrphnsIZ3ukA,"Chỉ mới ở Đức thôi mà đẹp điên người rồi. Qua tới Thụy Sỹ đẹp x5, X10 nữa. Đúng là Châu Âu. Chúc khoai có chuyến du lịch Châu Âu thật tuyệt vời mang những thước phim đẹp đến với mọi người.",2025-10-13T07:17:58Z,135,0,,,2025-10-26T23:04:07.563279,False,,"chỉ mới ở đức thôi mà đẹp điên người rồi. qua tới thụy sỹ đẹp x5, x10 nữa. đúng châu âu. chúc khoai chuyến du lịch châu âu thật tuyệt vời mang những thước phim đẹp đến mọi người.",vi,188,42,True,2025-10-26T23:04:07.668663
