comment_id,post_id,platform,author_name,author_id,comment_text,published_at,like_count,reply_count,sentiment_label,sentiment_score,crawled_at,is_reply,parent_comment_id
Ugwr6A3VhOQcuk5kBQt4AaABAg.AOCC8C_g5QBAOCLtshslyy,qd3t_JSQXWo,YouTube,@phuchien774,UC1qJCMckkt98CGhGZY3I9fA,Chúc mừng Em Khoai đạt được 3tr Dk nhé .Chúc Em nhieu sức khỏe luôn thuận lợi bình an trên mọi hành trình các chuyến đi của mình nhé 🤝🤝🤝👏👏👏🎉🎉🎉🎉🎉🎉🎉🫶🫶🫶❤❤❤,2025-10-13T02:02:48Z,8,0,,,2025-10-26T23:04:07.563279,True,Ugwr6A3VhOQcuk5kBQt4AaABAg
Ugyc0-9OBm3uXHVTdyx4AaABAg,qd3t_JSQXWo,YouTube,@CelineTran21,UClQG2csVzBuF-oJuPLQjsHw,"Hồi đi học mê truyện mỗi lần có tập mới ra là phải để dành lúc thật rảnh mới đọc từ từ, còn giờ mỗi lần Khoai ra video mới là cũng phải để dành xem lúc yên tĩnh nhất để không bỏ lỡ một giây phút nào, Hôm rồi thấy Khoai đăng video đang đi Thuỵ Sĩ háo hức khoe với ck được hít chung bầu không khí với Khoai nè, hay là Khoai đăng lịch trình lên được không biết đâu vô tình ra đường được gặp idol🥰",2025-10-16T11:26:05Z,8,0,,,2025-10-26T23:04:07.563279,False,
UgzLtyECZ4sXyYB7cR54AaABAg.AOCns7IBwJLAOFY0PLVewx,qd3t_JSQXWo,YouTube,@janna7925,UCMfc7PEhu-Cr6Z6J0i7y6lA,"@cuhy6328 Bạn tìm hiểu kỹ rồi cung cấp thông tin nhé ạ, Đinh Võ Nam Hiếu là kênh của em ruột anh Khoai, không phải anh Su.",2025-10-14T07:46:24Z,8,0,,,2025-10-26T23:04:07.563279,True,UgzLtyECZ4sXyYB7cR54AaABAg
UgwewsFeV7IMemkS1xt4AaABAg,qd3t_JSQXWo,YouTube,,UC1pRrVwdbtn4ces3mZknAxg,"Em cũng từng du lịch bụi qua nước đức 1 tuần, và may mắn là toàn gặp những điều tốt đẹp, người dân rất thân thiện từ những người nhân viên ks, nhà hàng, nhân viên sân bay, an ninh đều rất thân thiện vui vẻ",2025-10-16T03:05:24Z,7,0,,,2025-10-26T23:04:07.563279,False,
UgwFlgXK-Q1wXgktBnZ4AaABAg.AOCBgBjzo2dAOCVgfLXpPk,qd3t_JSQXWo,YouTube,@duyentran5379,UCYVueiN6_5-lxq3jHQlf-UA,Nếu phải mua thì vé đó bao nhiêu vậy a khoai,2025-10-13T03:28:22Z,7,0,,,2025-10-26T23:04:07.563279,True,UgwFlgXK-Q1wXgktBnZ4AaABAg
UgwFlgXK-Q1wXgktBnZ4AaABAg.AOCBgBjzo2dAOCcAobAt7r,qd3t_JSQXWo,YouTube,@thinhbui4835,UC-TRduMe79v-91L0Ey9uxjA,Cô ấy tốt quá,2025-10-13T04:33:47Z,7,0,,,2025-10-26T23:04:07.563279,True,UgwFlgXK-Q1wXgktBnZ4AaABAg
Ugyw9maVxqOcE-GinSJ4AaABAg.AOC_3D9WjUdAOD4Zp9QBxX,qd3t_JSQXWo,YouTube,@hannahnguyen6113,UCdD82aN01X5WO3I89lZq1WA,"Su cũng so mà, khg dam chay nhanh dau.",2025-10-13T08:50:37Z,6,0,,,2025-10-26T23:04:07.563279,True,Ugyw9maVxqOcE-GinSJ4AaABAg
UgwFlgXK-Q1wXgktBnZ4AaABAg.AOCBgBjzo2dAOCbHrRLA6S,qd3t_JSQXWo,YouTube,@LHSung_2K,UCwsM6ZfmOzJFeEeJiep8ebw,Ở vn thì chắc chắn là đào lửa r,2025-10-13T04:26:01Z,6,0,,,2025-10-26T23:04:07.563279,True,UgwFlgXK-Q1wXgktBnZ4AaABAg
Ugxkrtu6Fwa1gQOKGOF4AaABAg.AOD7QXkCLp5AODYS_W6iqD,qd3t_JSQXWo,YouTube,@LoanNguyen-rc7rm,UCNDRzZxELIfyW59XuzpeuUA,"Khung cảnh thật sự rất đẹp . Chúc KHOAI có 1 chuyến đi nhiều vui vẻ, Bình An .",2025-10-13T13:11:46Z,6,0,,,2025-10-26T23:04:07.563279,True,Ugxkrtu6Fwa1gQOKGOF4AaABAg
Ugzw-xqcG6H9zita6th4AaABAg.AODD-D6jMxFAOE0dQU1a5-,qd3t_JSQXWo,YouTube,@VanNguyen-mr2hy,UCwlDNYoFf5cENW6zd1SF2Pw,Tui coi anh Khoai cũng vì ảnh á kkk❤,2025-10-13T17:35:32Z,5,0,,,2025-10-26T23:04:07.563279,True,Ugzw-xqcG6H9zita6th4AaABAg
